CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from одрѣнь	 to 	рѣнь, хрѣнь	 distance == 2
CANNOT chose from расхитити	 to 	всхитити, рассытити, растити	 distance == 2
CANNOT chose from семынь	 to 	сѣнь, семь, ремень, селунь	 distance == 2
CANNOT chose from жатвный	 to 	житный, ратный, равный	 distance == 2
CANNOT chose from чемерь	 to 	илмерь, ремень, нѣмець, чунерь, бедерь	 distance == 2
CANNOT chose from братний	 to 	братский, ратный, бранный, брачный, краткий, бараний, бражный	 distance == 2
CANNOT chose from антоновъ	 to 	етоновъ, амоновъ, антиоховъ	 distance == 2
CANNOT chose from ростергати	 to 	ростеряти, постегати, растерзати	 distance == 2
CANNOT chose from силивестръ	 to 	силвестръ, селивестръ	 distance == 1
CANNOT chose from молодь	 to 	голодъ, молоко, солодъ	 distance == 2
CANNOT chose from зимный	 to 	земный, зимний	 distance == 1
CANNOT chose from узъ	 to 	езъ, уза	 distance == 1
CANNOT chose from простець	 to 	постель, просвѣть	 distance == 2
CANNOT chose from иереиский	 to 	теремский, индѣиский, деревский, июдѣиский	 distance == 2
CANNOT chose from стяговый	 to 	сиговый, сяковый, столовый	 distance == 2
CANNOT chose from гнусный	 to 	густый, нужный, днесный, грудный	 distance == 2
CANNOT chose from дѣть	 to 	дѣтя, дѣти	 distance == 1
CANNOT chose from усмотрѣти	 to 	смотрѣти, осмотрѣти	 distance == 1
CANNOT chose from вбучь	 to 	врачь, обручь, внуча	 distance == 2
CANNOT chose from агаваофъ	 to 	саваофъ, гаваонъ	 distance == 2
CANNOT chose from взлазити	 to 	влазити, излазити, вылазити	 distance == 1
CANNOT chose from приготовляти	 to 	приготовити, приготовати	 distance == 2
CANNOT chose from кропинный	 to 	кручинный, рѣпинный, кожинный, копийный	 distance == 2
CANNOT chose from хладъ	 to 	ладъ, гладъ	 distance == 1
CANNOT chose from комкание	 to 	скокание, копание	 distance == 2
CANNOT chose from полонение	 to 	положение, поклонение	 distance == 1
CANNOT chose from адорский	 to 	морский, идолский, угорский, заморский	 distance == 2
CANNOT chose from обрѣтение	 to 	обращение, обрѣзание, стрѣтение, обѣдение, брежение	 distance == 2
CANNOT chose from безмѣстие	 to 	берестие, бесмертие, бесчестие	 distance == 2
CANNOT chose from сирь	 to 	сыръ, асиръ	 distance == 2
CANNOT chose from нѣжата	 to 	нѣмота, ногата	 distance == 2
CANNOT chose from ревѣние	 to 	ревние, рвение	 distance == 1
CANNOT chose from взвонити	 to 	взводити, звонити	 distance == 1
CANNOT chose from заздати	 to 	раздаяти, заѣхати, жаждати, назидати, вздати, здати, заѣзжати, мазати, застати, заимати, заушати, раздрати, жадати, гадати, назвати, создати, заклати, казати, зазрѣти, падати, зачати	 distance == 2
CANNOT chose from полстинь	 to 	полсть, полтина	 distance == 2
CANNOT chose from снузникъ	 to 	нужникъ, спутникъ, узникъ	 distance == 2
CANNOT chose from взблевати	 to 	взлежати, взбѣжати, взливати, блевати	 distance == 2
CANNOT chose from бѣжание	 to 	обѣщание, обѣдание	 distance == 2
CANNOT chose from купросъ	 to 	клиросъ, курокъ	 distance == 2
CANNOT chose from усудити	 to 	судити, осудити	 distance == 1
CANNOT chose from жака	 to 	бака, жаба, рака, жажа	 distance == 1
CANNOT chose from былие	 to 	тылие, бытие	 distance == 1
CANNOT chose from совь	 to 	сновь, соль, мовь	 distance == 1
CANNOT chose from мячий	 to 	який, вѣчий, отчий, мний, мяккий, мягкий, вящий, сякий, лучий	 distance == 2
CANNOT chose from натещи	 to 	потещи, расѣщи, зажещи, тещи, налечи, надѣти, наречи, истещи	 distance == 2
CANNOT chose from ифестовъ	 to 	фастовъ, афетовъ	 distance == 2
CANNOT chose from торчевъ	 to 	боричевъ, торчинъ	 distance == 2
CANNOT chose from пописати	 to 	описати, попирати	 distance == 1
CANNOT chose from нухла	 to 	муха, нужда, хула, уха, нура, нужа, сула	 distance == 2
CANNOT chose from нижий	 to 	нищий, нижний	 distance == 1
CANNOT chose from плоимъ	 to 	плодъ, плотъ	 distance == 2
CANNOT chose from думание	 to 	дышание, дѣлание, ругание, дыхание	 distance == 2
CANNOT chose from капный	 to 	окаяный, кальный, оканный	 distance == 2
CANNOT chose from кюръ	 to 	киръ, куръ	 distance == 1
CANNOT chose from обитѣль	 to 	житель, водитель, учитель, гонитель, родитель	 distance == 2
CANNOT chose from рознести	 to 	розвести, розѣсти	 distance == 1
CANNOT chose from испания	 to 	спание, исаия	 distance == 2
CANNOT chose from ищисти	 to 	изити, счисти, исчисти, чисти, ущити	 distance == 2
CANNOT chose from отводити	 to 	отворити, отходити	 distance == 1
CANNOT chose from налѣсти	 to 	наѣсти, налѣзти	 distance == 1
CANNOT chose from милостный	 to 	милостивый, милостивный, жалостный	 distance == 2
CANNOT chose from вздорожити	 to 	взворотити, ворожити	 distance == 2
CANNOT chose from взмясти	 to 	смясти, вымести, взвести, взяти, измяти, вымяти, мясти, взрасти, взняти, взнести	 distance == 2
CANNOT chose from влатъ	 to 	платъ, власъ	 distance == 1
CANNOT chose from бабити	 to 	забити, вабити	 distance == 1
CANNOT chose from суди	 to 	судъ, судия	 distance == 1
CANNOT chose from вышший	 to 	выший, вышний	 distance == 1
CANNOT chose from избиение	 to 	биение, избрание, изумѣние, убиение	 distance == 2
CANNOT chose from заворожити	 to 	загородити, ворожити	 distance == 2
CANNOT chose from леонидъ	 to 	леонъ, лѣтникъ, ледникъ	 distance == 2
CANNOT chose from устигнути	 to 	достигнути, постигнути	 distance == 2
CANNOT chose from педаний	 to 	сѣдание, прѣдание	 distance == 2
CANNOT chose from ванаи	 to 	сани, вина, рана, дунаи, ратаи, сараи	 distance == 2
CANNOT chose from шернский	 to 	женский, пермский, персский	 distance == 2
CANNOT chose from копиний	 to 	куриний, копание	 distance == 2
CANNOT chose from мюро	 to 	миръ, море, моръ	 distance == 2
CANNOT chose from ота	 to 	рота, фота, ока	 distance == 1
CANNOT chose from сновский	 to 	оковский, сотский	 distance == 2
CANNOT chose from попуснѣти	 to 	попустити, опустѣти, опустнѣти	 distance == 2
CANNOT chose from дѣмонь	 to 	дѣдень, сѣмень	 distance == 2
CANNOT chose from феодулъ	 to 	феодоръ, феофилъ	 distance == 2
CANNOT chose from спира	 to 	спица, спина	 distance == 1
CANNOT chose from цѣлина	 to 	цѣна, длина, хмелина, келица, глина, елена, перина, сѣдина, цѣлба, фетина	 distance == 2
CANNOT chose from щепка	 to 	щека, щелка	 distance == 1
CANNOT chose from гадание	 to 	шатание, назание, рыдание, сѣдание, отдание, вздание, зидание, падение	 distance == 2
CANNOT chose from вячко	 to 	вѣчко, вятко	 distance == 1
CANNOT chose from занудити	 to 	засадити, закупити, понудити, завадити, задушити, засушити, заходити, нудити, расудити, заводити	 distance == 2
CANNOT chose from изрыти	 to 	изыти, измыти, избыти	 distance == 1
CANNOT chose from прашание	 to 	плакание, прошение, плавание, прѣдание	 distance == 2
CANNOT chose from чаръ	 to 	даръ, ларъ, харъ, часъ	 distance == 1
CANNOT chose from плотяный	 to 	плотный, платяный	 distance == 1
CANNOT chose from фиримъ	 to 	гримъ, кирилъ, фарисъ, филипъ, сиринъ, римъ	 distance == 2
CANNOT chose from прелѣтати	 to 	прилетѣти, прѣбѣгати, предстати, прѣдлежати, причетати, прѣпитати, трепетати, прилежати, прѣлщати, прѣсѣкати, прелстити, прѣлстити, прѣстати	 distance == 2
CANNOT chose from индития	 to 	индикий, индия	 distance == 2
CANNOT chose from вылѣсти	 to 	высѣсти, вылѣзти	 distance == 1
CANNOT chose from луповъ	 to 	гудовъ, чудовъ, бутовъ, лотовъ	 distance == 2
CANNOT chose from вкласти	 to 	укласти, скласти, класти, вкрасти	 distance == 1
CANNOT chose from выстояти	 to 	сстояти, достояти, стояти, отстояти, настояти, встаяти, обстояти, устояти, постояти	 distance == 2
CANNOT chose from сулѣи	 to 	супои, луеи, кулмѣи, свеи, сула	 distance == 2
CANNOT chose from губитель	 to 	мучитель, обитель, учитель, гонитель	 distance == 2
CANNOT chose from жизнный	 to 	жирный, житный, винный, ризный	 distance == 2
CANNOT chose from ардалъ	 to 	адамъ, аранъ	 distance == 2
CANNOT chose from ипикъ	 to 	крикъ, исакъ, пиръ, ликъ, инокъ, пискъ	 distance == 2
CANNOT chose from лоива	 to 	лихва, нива, литва, слива	 distance == 2
CANNOT chose from лѣковати	 to 	исковати, оковати, вѣровати, лиховати, сковати, цѣловати, ковати, сѣтовати, блекотати	 distance == 2
CANNOT chose from дамиянъ	 to 	дамианъ, демиянъ	 distance == 1
CANNOT chose from гонѣти	 to 	гоняти, гонити, горѣти	 distance == 1
CANNOT chose from обличие	 to 	величие, обличение	 distance == 2
CANNOT chose from курганъ	 to 	варганъ, купанъ, куманъ, каганъ	 distance == 2
CANNOT chose from крусъ	 to 	трусъ, кусъ, кругъ	 distance == 1
CANNOT chose from чугаи	 to 	дунаи, дуга, ручаи, луга, туга	 distance == 2
CANNOT chose from станила	 to 	ставило, старина	 distance == 2
CANNOT chose from гнести	 to 	нести, внести	 distance == 1
CANNOT chose from ормина	 to 	орина, осмина	 distance == 1
CANNOT chose from кучарь	 to 	келарь, кесарь, кубара, ключарь, сухарь	 distance == 2
CANNOT chose from агрикъ	 to 	крикъ, гримъ, рюрикъ, грекъ, угринъ	 distance == 2
CANNOT chose from лувий	 to 	иулий, гурий, флавий, луеи, ливия, лубие	 distance == 2
CANNOT chose from павлинъ	 to 	навгинъ, навинъ	 distance == 2
CANNOT chose from просунути	 to 	просушити, протянути, промкнути, прослути	 distance == 2
CANNOT chose from лысець	 to 	лыбѣдь, лѣчець, писець, лтець, ловець, ларець, плясець, овсець, ссець	 distance == 2
CANNOT chose from всѣяние	 to 	дѣяние, встание, влияние, сияние, насѣяние, одѣяние	 distance == 2
CANNOT chose from иерѣиский	 to 	теремский, индѣиский, деревский, июдѣиский	 distance == 2
CANNOT chose from запрѣтися	 to 	запрѣтити, запрѣти	 distance == 2
CANNOT chose from слажий	 to 	слукий, благий, ближий, слабый, сладкий, вражий, свѣжий	 distance == 2
CANNOT chose from минѣи	 to 	миди, михея, мина, моисеи, инди	 distance == 2
CANNOT chose from лозный	 to 	розный, ложный	 distance == 1
CANNOT chose from изѣсти	 to 	изнести, извести	 distance == 1
CANNOT chose from фоя	 to 	тля, имя, вои, робя, шия, коря, зоря, фока, выя, воня, лодя, воля, фота, хозя, лия, бои, нои, пря	 distance == 2
CANNOT chose from замыслъ	 to 	помыслъ, смыслъ	 distance == 2
CANNOT chose from моявия	 to 	молния, мосия	 distance == 2
CANNOT chose from врещися	 to 	врещи, врѣщи	 distance == 2
CANNOT chose from сидоръ	 to 	сборъ, судокъ, идолъ, содомъ, федоръ, симонъ, иворъ, сионъ, риторъ, видокъ	 distance == 2
CANNOT chose from бридкий	 to 	близкий, рѣдкий, жидкий	 distance == 2
CANNOT chose from взникати	 to 	взирати, взалкати, взжигати, внимати, взливати, изнимати, взимати, взискати, вынимати	 distance == 2
CANNOT chose from искѣпати	 to 	искупати, ископати	 distance == 1
CANNOT chose from десити	 to 	мѣсити, бѣсити, дѣлити, вѣсити	 distance == 1
CANNOT chose from жалошь	 to 	жаль, жало	 distance == 2
CANNOT chose from бездушие	 to 	бездѣлие, бездждие, безумие	 distance == 2
CANNOT chose from убывати	 to 	бывати, убивати	 distance == 1
CANNOT chose from истяти	 to 	стояти, устояти	 distance == 2
CANNOT chose from отмолити	 to 	умолити, помолити, молити	 distance == 2
CANNOT chose from кора	 to 	корь, коря	 distance == 1
CANNOT chose from улюбѣти	 to 	любити, слюбити	 distance == 2
CANNOT chose from сатуръ	 to 	каптуръ, стыръ, шатеръ, студъ, мутуръ, асуръ, стукъ, туръ, сахаръ, саулъ, стулъ, стиръ, саукъ	 distance == 2
CANNOT chose from манѣи	 to 	сани, манна, мати, матфѣи, мантия, маи	 distance == 2
CANNOT chose from корязь	 to 	коря, князь, грязь	 distance == 2
CANNOT chose from песений	 to 	пеления, печение	 distance == 2
CANNOT chose from лстивъ	 to 	лстивый, лотовъ	 distance == 2
CANNOT chose from челка	 to 	щелка, бчелка	 distance == 1
CANNOT chose from удосити	 to 	носити, ужасити, уморити, упросити, угонити, добити, уточити, удивити, просити, уронити, бросити, умолити, укорити, утомити, укусити, уловити, утопити, доити, удолжити, утолити, ударити, угодити, угасити, удавити	 distance == 2
CANNOT chose from фраки	 to 	фракия, фракъ	 distance == 1
CANNOT chose from выплевати	 to 	вспѣвати, плевати, оплевати	 distance == 2
CANNOT chose from успѣние	 to 	утаение, пѣние, спание, усние, отпѣние, учение, убиение	 distance == 2
CANNOT chose from врачевный	 to 	вревный, плачевный	 distance == 2
CANNOT chose from желтый	 to 	бѣлый, женатый, целый	 distance == 2
CANNOT chose from возѣхати	 to 	выѣхати, вѣхати, изѣхати	 distance == 2
CANNOT chose from почестити	 to 	помостити, постити, почтити, честити	 distance == 2
CANNOT chose from всхотѣние	 to 	исхожение, похотѣние, хотѣние	 distance == 2
CANNOT chose from шаръ	 to 	даръ, ларъ, харъ	 distance == 1
CANNOT chose from диодоръ	 to 	феодоръ, диоскоръ, дозоръ	 distance == 2
CANNOT chose from пурини	 to 	пучина, перина, шуринъ, куриний	 distance == 2
CANNOT chose from усѣкати	 to 	посѣкати, отсѣкати	 distance == 2
CANNOT chose from уяти	 to 	уити, яти	 distance == 1
CANNOT chose from морозити	 to 	розити, грозити, морити	 distance == 2
CANNOT chose from пронзнути	 to 	протянути, промкнути, пронзти	 distance == 2
CANNOT chose from сикеръ	 to 	скербъ, синкелъ, сѣверъ	 distance == 2
CANNOT chose from ясыня	 to 	ясинъ, дыня, ксеня, ягня, асиня, сынъ	 distance == 2
CANNOT chose from ублажати	 to 	убѣжати, обнажати, облачати, обладати, облежати, укладати	 distance == 2
CANNOT chose from смѣшникъ	 to 	грѣшникъ, мѣрникъ, мечникъ, свѣтникъ	 distance == 2
CANNOT chose from убѣжание	 to 	урѣкание, обѣщание, обѣдание, удержание	 distance == 2
CANNOT chose from превести	 to 	провести, перевести	 distance == 1
CANNOT chose from хрестянский	 to 	 хрестиянский, крестиянский	 distance == 2
CANNOT chose from плеще	 to 	плече, плѣщь	 distance == 1
CANNOT chose from титовъ	 to 	симовъ, сифовъ, дировъ, бутовъ, лотовъ	 distance == 2
CANNOT chose from лажение	 to 	сажение, кажение	 distance == 1
CANNOT chose from подаровати	 to 	даровати, подавати	 distance == 2
CANNOT chose from поникати	 to 	почитати, покивати, пожинати, посѣкати, почивати, побирати, поискати, побивати, поминати, понужати, понашати, пожигати, порицати, потакати, поливати, подимати, починати, попирати, погибати, покидати, поимати	 distance == 2
CANNOT chose from сикарий	 to 	сирий, макарий	 distance == 2
CANNOT chose from арамъ	 to 	срамъ, адамъ, аврамъ, храмъ, аранъ	 distance == 1
CANNOT chose from лагодный	 to 	негодный, лавочный, ягодный, угодный, годный	 distance == 2
CANNOT chose from посулити	 to 	похулити, посушити, посудити	 distance == 1
CANNOT chose from всути	 to 	сути, ссути	 distance == 1
CANNOT chose from досягнути	 to 	достигнути, посякнути, потягнути	 distance == 2
CANNOT chose from хрестиянский	 to 	 хрестиянский, крестиянский	 distance == 1
CANNOT chose from раслушати	 to 	распущати, выслушати, расужати, послушати, прѣслушати, разлучати, слушати, ослушати	 distance == 2
CANNOT chose from невольный	 to 	довольный, вольный	 distance == 2
CANNOT chose from потратити	 to 	обратити, отрадити, поплатити, пограбити, поразити, поправити, потащити, посрамити, похватити, потрудити, побранити, потаити, помрачити, отвратити, потрѣбити, портити	 distance == 2
CANNOT chose from преселение	 to 	премѣнение, прѣсыщение	 distance == 2
CANNOT chose from привѣвати	 to 	привѣчати, прививати	 distance == 1
CANNOT chose from отторгати	 to 	поторгати, торгати	 distance == 2
CANNOT chose from товаровъ	 to 	уваровъ, товаръ	 distance == 2
CANNOT chose from ядрѣи	 to 	ереи, иереи, андреи, рѣи, ядро, еврѣи	 distance == 2
CANNOT chose from ироевъ	 to 	иродовъ, игоревъ, дировъ	 distance == 2
CANNOT chose from обыкати	 to 	рыкати, бывати, обтекати	 distance == 2
CANNOT chose from свѣдѣние	 to 	сѣдѣние, свѣтѣние	 distance == 1
CANNOT chose from взблюсти	 to 	ублюсти, сблюсти, блюсти, взбрести, поблюсти	 distance == 2
CANNOT chose from жадѣти	 to 	щадѣти, радѣти, жадати, надѣти	 distance == 1
CANNOT chose from вздаяние	 to 	вздаание, вздание	 distance == 1
CANNOT chose from ѣдъ	 to 	ледъ, ядъ, медъ, удъ, адъ, дѣдъ	 distance == 1
CANNOT chose from прескокъ	 to 	прѣстолъ, пѣсокъ, опрѣснокъ, плесковъ	 distance == 2
CANNOT chose from симати	 to 	снимати, имати	 distance == 1
CANNOT chose from каркинъ	 to 	саринъ, маринъ, каинъ, аршинъ, варинъ	 distance == 2
CANNOT chose from крупица	 to 	купина, рудица, трубица, кручина, кропива, крабица	 distance == 2
CANNOT chose from кончакъ	 to 	конникъ, колпакъ	 distance == 2
CANNOT chose from спасный	 to 	неспасный, спальный	 distance == 2
CANNOT chose from увѣчати	 to 	увѣдати, увѣщати, свѣчати	 distance == 1
CANNOT chose from наквапити	 to 	наварити, накапати, навадити, накопити	 distance == 2
CANNOT chose from сприяти	 to 	всприяти, прияти	 distance == 1
CANNOT chose from отщетити	 to 	отрѣшити, отмѣрити, отмѣтати, отвѣсити, освѣтити, стрѣтити	 distance == 2
CANNOT chose from ухани	 to 	сани, уха, уланъ, ханъ	 distance == 2
CANNOT chose from мытва	 to 	пытка, молва, сыта, мста, мыто, мышца, метла, ѣства, литва	 distance == 2
CANNOT chose from изотимати	 to 	изимати, изнимати	 distance == 2
CANNOT chose from вѣщий	 to 	вѣчий, вящий	 distance == 1
CANNOT chose from каця	 to 	варя, заря, калъ, кары, коря, каша, капля, ладя, куци, камы, кария, кадь, баня, куря	 distance == 2
CANNOT chose from клинъ	 to 	каинъ, блинъ	 distance == 1
CANNOT chose from взвязати	 to 	возтязати, розвязати	 distance == 2
CANNOT chose from обрытися	 to 	обрыти, скрытися	 distance == 2
CANNOT chose from боброка	 to 	борода, доброта, оброкъ, борона	 distance == 2
CANNOT chose from притомити	 to 	прѣломити, притащити, приложити, проточити, природити, приходити, пригодити, притворити, приносити, приводити, привозити	 distance == 2
CANNOT chose from встискати	 to 	сискати, вытаскати, взискати, снискати	 distance == 2
CANNOT chose from пожегъ	 to 	пологъ, порогъ	 distance == 2
CANNOT chose from либивый	 to 	лѣнивый, лстивый, лживый, злобивый	 distance == 2
CANNOT chose from понрети	 to 	почрѣти, пожрѣти, позрѣти, помрѣти	 distance == 1
CANNOT chose from взвращение	 to 	взвѣщение, взгражение, взбранение	 distance == 2
CANNOT chose from предтѣкати	 to 	прѣдлежати, прѣтыкати, прѣсѣкати, подтекати	 distance == 2
CANNOT chose from укончати	 to 	окончати, кончати	 distance == 1
CANNOT chose from зеленина	 to 	зеленикъ, меженина	 distance == 2
CANNOT chose from обешствие	 to 	ошствие, отошствие	 distance == 2
CANNOT chose from прокша	 to 	прокъ, проказа, прокуда, полша	 distance == 2
CANNOT chose from бакота	 to 	бака, башта	 distance == 2
CANNOT chose from свинець	 to 	вѣнець, единець	 distance == 2
CANNOT chose from почерети	 to 	почрѣти, померети	 distance == 1
CANNOT chose from народный	 to 	надобный, набоиный, породный, негодный, родный, городный, даровный	 distance == 2
CANNOT chose from пламѣный	 to 	платяный, блаженый, плачевный	 distance == 2
CANNOT chose from порохня	 to 	погоня, порядня, городня, порохъ, порося	 distance == 2
CANNOT chose from кудство	 to 	сущство, мужство, вѣдство, чувство	 distance == 2
CANNOT chose from взблюдение	 to 	сблюдение, блюдение	 distance == 2
